Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cholesterol Transfer Activity (GO:0120020),0.5424119748169369,1.5215339589213874,0.04967602591792657,0.2907933644253505,1.0,8/13,13.33%,NPC2;GRAMD1C;TSPO;STARD4;ABCG8;OSBPL2;PLTP;MTTP
prerank,Nuclear Retinoic Acid Receptor Binding (GO:0042974),-0.5468560159433863,-1.5169149526916867,0.04634581105169341,0.2643094113085065,1.0,9/15,26.03%,MED9;TACC1;ASXL1;SNW1;NRIP1;NCOA6;MED1;ARID5A;NR4A2
prerank,Protein Serine/Threonine Kinase Activator Activity (GO:0043539),-0.42075473350833614,-1.5168193398741152,0.0176,0.25841041937855047,1.0,15/45,18.91%,MAP3K13;SPRY2;CCNT2;PARP8;PARP16;STRADA;MAP3K12;CCND2;CAB39L;TRAF6;CDK5R1;STK4;PARP6;DAB2IP;CAB39
prerank,Dynactin Binding (GO:0034452),-0.5834420431153435,-1.5095757426802947,0.05263157894736842,0.2650066303791045,1.0,6/11,16.23%,BICD2;SPTBN5;BICDL1;GSK3B;HTT;HOOK3
prerank,Histone Acetyltransferase Activity (GO:0004402),-0.4702554986123765,-1.507920917878528,0.02926829268292683,0.2622425563561409,1.0,18/26,31.32%,CLOCK;KAT6B;TADA2A;KAT6A;ING3;MCM3AP;USP22;EP300;CREBBP;NAA50;KAT14;ATF2;NAA40;TAF1L;KAT5;NCOA3;KAT2A;KAT7
prerank,Histone Demethylase Activity (GO:0032452),-0.4760043814648401,-1.5062631786364262,0.03924914675767918,0.259636560090669,1.0,11/26,22.65%,KDM1A;KDM4A;JMJD1C;KDM2B;KDM5C;KDM4C;KDM5D;HR;KDM7A;JMJD6;KDM8
prerank,Lysine N-methyltransferase Activity (GO:0016278),-0.5282019701082918,-1.5033045179198246,0.05660377358490566,0.25993198475730894,1.0,11/17,28.52%,SETD6;EEF1AKMT2;SMYD2;CSKMT;METTL21A;EZH2;SETD2;EHMT1;EHMT2;SETD7;VCPKMT
prerank,Endopeptidase Activator Activity (GO:0061133),0.5556285146054156,1.5031696814818336,0.04906542056074766,0.3171897972672215,1.0,7/12,16.43%,VSIR;APH1B;PSENEN;PSME1;CASP1;CARD8;PSME2
prerank,Phospholipase A2 Activity (GO:0004623),0.5310824471176301,1.4977534489586952,0.046341463414634146,0.318168536347853,1.0,8/14,28.99%,PLA2G15;PNPLA4;PLA2G5;PRDX6;PLA2G12A;PLB1;PLA2G6;PNPLA3
prerank,"Steroid Dehydrogenase Activity, Acting On The CH-OH Group Of Donors, NAD Or NADP As Acceptor (GO:0033764)",0.4895423251354093,1.4922512688158753,0.0475,0.31947982461626123,1.0,9/17,20.62%,AKR1C3;HSD17B10;AKR1C1;AKR1C4;HSD17B8;HSD17B14;HSD17B7;HSD17B6;HSD3B7
