,name,x.mni,y.mni,z.mni,lobe,hemi,index,gyrus,gyrus.full,subregion,subregion.full,Yeo_7network,Yeo_17network
121,pSTS_L_2_1,-54,-40,4,Temporal,L,121,pSTS,posterior Superior Temporal Sulcus,rpSTS,rostroposterior superior temporal sulcus,Default,Default B
122,pSTS_R_2_1,53,-37,3,Temporal,R,122,pSTS,posterior Superior Temporal Sulcus,rpSTS,rostroposterior superior temporal sulcus,Default,Default B
123,pSTS_L_2_2,-52,-50,11,Temporal,L,123,pSTS,posterior Superior Temporal Sulcus,cpSTS,caudoposterior superior temporal sulcus,Ventral Attention,Default B
124,pSTS_R_2_2,57,-40,12,Temporal,R,124,pSTS,posterior Superior Temporal Sulcus,cpSTS,caudoposterior superior temporal sulcus,Ventral Attention,Default B
125,SPL_L_5_1,-16,-60,63,Parietal,L,125,SPL,Superior Parietal Lobule,A7r,rostral area 7,Dorsal Attention,Dorsal Attention A
126,SPL_R_5_1,19,-57,65,Parietal,R,126,SPL,Superior Parietal Lobule,A7r,rostral area 7,Dorsal Attention,Dorsal Attention A
127,SPL_L_5_2,-15,-71,52,Parietal,L,127,SPL,Superior Parietal Lobule,A7c,caudal area 7,Dorsal Attention,Temporal Parietal
128,SPL_R_5_2,19,-69,54,Parietal,R,128,SPL,Superior Parietal Lobule,A7c,caudal area 7,Dorsal Attention,Temporal Parietal
129,SPL_L_5_3,-33,-47,50,Parietal,L,129,SPL,Superior Parietal Lobule,A5l,lateral area 5,Dorsal Attention,Dorsal Attention A
130,SPL_R_5_3,35,-42,54,Parietal,R,130,SPL,Superior Parietal Lobule,A5l,lateral area 5,Dorsal Attention,Dorsal Attention A
131,SPL_L_5_4,-22,-47,65,Parietal,L,131,SPL,Superior Parietal Lobule,A7pc,postcentral area 7,Somatomotor,Somatomotor A
132,SPL_R_5_4,23,-43,67,Parietal,R,132,SPL,Superior Parietal Lobule,A7pc,postcentral area 7,Somatomotor,Somatomotor A
133,SPL_L_5_5,-27,-59,54,Parietal,L,133,SPL,Superior Parietal Lobule,A7ip,intraparietal area 7 (hIP3),Dorsal Attention,Temporal Parietal
134,SPL_R_5_5,31,-54,53,Parietal,R,134,SPL,Superior Parietal Lobule,A7ip,intraparietal area 7 (hIP3),Dorsal Attention,Temporal Parietal
135,IPL_L_6_1,-34,-80,29,Parietal,L,135,IPL,Inferior Parietal Lobule,A39c,caudal area 39 (PGp),Visual,Temporal Parietal
136,IPL_R_6_1,45,-71,20,Parietal,R,136,IPL,Inferior Parietal Lobule,A39c,caudal area 39 (PGp),Visual,Temporal Parietal
137,IPL_L_6_2,-38,-61,46,Parietal,L,137,IPL,Inferior Parietal Lobule,A39rd,rostrodorsal area 39 (Hip3),Frontoparietal,Control C
138,IPL_R_6_2,39,-65,44,Parietal,R,138,IPL,Inferior Parietal Lobule,A39rd,rostrodorsal area 39 (Hip3),Frontoparietal,Control C
139,IPL_L_6_3,-51,-33,42,Parietal,L,139,IPL,Inferior Parietal Lobule,A40rd,rostrodorsal area 40 (PFt),Dorsal Attention,Dorsal Attention A
140,IPL_R_6_3,47,-35,45,Parietal,R,140,IPL,Inferior Parietal Lobule,A40rd,rostrodorsal area 40 (PFt),Dorsal Attention,Dorsal Attention A
141,IPL_L_6_4,-56,-49,38,Parietal,L,141,IPL,Inferior Parietal Lobule,A40c,caudal area 40 (PFm),Default,Auditory
142,IPL_R_6_4,57,-44,38,Parietal,R,142,IPL,Inferior Parietal Lobule,A40c,caudal area 40 (PFm),Frontoparietal,Default A
143,IPL_L_6_5,-47,-65,26,Parietal,L,143,IPL,Inferior Parietal Lobule,A39rv,rostroventral area 39 (PGa),Dorsal Attention,Default B
144,IPL_R_6_5,53,-54,25,Parietal,R,144,IPL,Inferior Parietal Lobule,A39rv,rostroventral area 39 (PGa),Default,Visual C
145,IPL_L_6_6,-53,-31,23,Parietal,L,145,IPL,Inferior Parietal Lobule,A40rv,rostroventral area 40 (PFop),Somatomotor,Somatomotor B
146,IPL_R_6_6,55,-26,26,Parietal,R,146,IPL,Inferior Parietal Lobule,A40rv,rostroventral area 40 (PFop),Somatomotor,Somatomotor B
147,PCun_L_4_1,-5,-63,51,Parietal,L,147,Pcun,Precuneus,A7m,medial area 7 (PEp),Frontoparietal,Control B
148,PCun_R_4_1,6,-65,51,Parietal,R,148,Pcun,Precuneus,A7m,medial area 7 (PEp),Frontoparietal,Control B
149,PCun_L_4_2,-8,-47,57,Parietal,L,149,Pcun,Precuneus,A5m,medial area 5 (PEm),Somatomotor,Somatomotor A
150,PCun_R_4_2,7,-47,58,Parietal,R,150,Pcun,Precuneus,A5m,medial area 5 (PEm),Dorsal Attention,Dorsal Attention A
151,PCun_L_4_3,-12,-67,25,Parietal,L,151,Pcun,Precuneus,dmPOS,dorsomedial parietooccipital  sulcus (PEr),Visual,Visual B
152,PCun_R_4_3,16,-64,25,Parietal,R,152,Pcun,Precuneus,dmPOS,dorsomedial parietooccipital  sulcus (PEr),Visual,Visual B
153,PCun_L_4_4,-6,-55,34,Parietal,L,153,Pcun,Precuneus,A31,area 31 (Lc1),Default,Visual C
154,PCun_R_4_4,6,-54,35,Parietal,R,154,Pcun,Precuneus,A31,area 31 (Lc1),Default,Visual C
155,PoG_L_4_1,-50,-16,43,Parietal,L,155,PoG,Postcentral Gyrus,A1/2/3ulhf,area 1/2/3 (upper limb head and face region),Somatomotor,Somatomotor B
156,PoG_R_4_1,50,-14,44,Parietal,R,156,PoG,Postcentral Gyrus,A1/2/3ulhf,area 1/2/3 (upper limb head and face region),Somatomotor,Somatomotor B
157,PoG_L_4_2,-56,-14,16,Parietal,L,157,PoG,Postcentral Gyrus,A1/2/3tonIa,area 1/2/3 (tongue and larynx region),Somatomotor,Somatomotor B
158,PoG_R_4_2,56,-10,15,Parietal,R,158,PoG,Postcentral Gyrus,A1/2/3tonIa,area 1/2/3 (tongue and larynx region),Somatomotor,Somatomotor B
159,PoG_L_4_3,-46,-30,50,Parietal,L,159,PoG,Postcentral Gyrus,A2,area 2,Dorsal Attention,Dorsal Attention A
160,PoG_R_4_3,48,-24,48,Parietal,R,160,PoG,Postcentral Gyrus,A2,area 2,Somatomotor,Somatomotor A
161,PoG_L_4_4,-21,-35,68,Parietal,L,161,PoG,Postcentral Gyrus,A1/2/3tru,area 1/2/3 (trunk region),Somatomotor,Somatomotor A
162,PoG_R_4_4,20,-33,69,Parietal,R,162,PoG,Postcentral Gyrus,A1/2/3tru,area 1/2/3 (trunk region),Somatomotor,Somatomotor A
163,INS_L_6_1,-36,-20,10,Insula,L,163,INS,Insular Gyrus,G,hypergranular insula,Somatomotor,Somatomotor B
164,INS_R_6_1,37,-18,8,Insula,R,164,INS,Insular Gyrus,G,hypergranular insula,Somatomotor,Somatomotor B
165,INS_L_6_2,-32,14,-13,Insula,L,165,INS,Insular Gyrus,vIa,ventral agranular insula,SCGM,SCGM
166,INS_R_6_2,33,14,-13,Insula,R,166,INS,Insular Gyrus,vIa,ventral agranular insula,Frontoparietal,Salience/VenAttn A
167,INS_L_6_3,-34,18,1,Insula,L,167,INS,Insular Gyrus,dIa,dorsal agranular insula,Ventral Attention,Salience/VenAttn A
168,INS_R_6_3,36,18,1,Insula,R,168,INS,Insular Gyrus,dIa,dorsal agranular insula,Ventral Attention,Salience/VenAttn A
169,INS_L_6_4,-38,-4,-9,Insula,L,169,INS,Insular Gyrus,vId/vIg,ventral dysgranular and granular insula,Ventral Attention,Dorsal Attention B
170,INS_R_6_4,39,-2,-9,Insula,R,170,INS,Insular Gyrus,vId/vIg,ventral dysgranular and granular insula,Ventral Attention,Dorsal Attention B
171,INS_L_6_5,-38,-8,8,Insula,L,171,INS,Insular Gyrus,dIg,dorsal granular insula,Somatomotor,Somatomotor B
172,INS_R_6_5,39,-7,8,Insula,R,172,INS,Insular Gyrus,dIg,dorsal granular insula,Somatomotor,Somatomotor B
173,INS_L_6_6,-38,5,5,Insula,L,173,INS,Insular Gyrus,dId,dorsal dysgranular insula,Ventral Attention,Dorsal Attention B
174,INS_R_6_6,38,5,5,Insula,R,174,INS,Insular Gyrus,dId,dorsal dysgranular insula,Ventral Attention,Dorsal Attention B
175,CG_L_7_1,-4,-39,31,Limbic,L,175,CG,Cingulate Gyrus,A23d,dorsal area 23,Default,Visual C
176,CG_R_7_1,4,-37,32,Limbic,R,176,CG,Cingulate Gyrus,A23d,dorsal area 23,Default,Visual C
